0,0.26
1,0.26
3,0.35
6,0.38
7,0.39
8,0.43
9,0.44
10,0.45
11,0.48
13,0.51
14,0.53
15,0.55
16,0.58
18,0.61
20,0.66
21,0.68
22,0.69
25,0.76
26,0.78
28,0.81
29,0.85
30,0.87
35,0.97
36,0.99
38,1.03
39,1.08
